student_id,session_id,phone_duration (sec),attention_label,test_score
001,S001,3,Attentive,89
002,S002,6,Attentive,87
003,S003,9,Attentive,86
004,S004,12,Attentive,84
005,S005,15,Attentive,83
006,S006,18,Attentive,81
007,S007,21,Attentive,80
008,S008,24,Attentive,78
009,S009,27,Attentive,77
010,S010,30,Attentive,75
011,S011,33,Distracted,69
012,S012,36,Distracted,68
013,S013,39,Distracted,67
014,S014,42,Distracted,66
015,S015,45,Distracted,65
016,S016,48,Distracted,64
017,S017,51,Distracted,63
018,S018,54,Distracted,62
019,S019,57,Distracted,61
020,S020,300,Distracted,50
021,S021,2,Attentive,90
022,S022,5,Attentive,88
023,S023,8,Attentive,86
024,S024,11,Attentive,85
025,S025,14,Attentive,83
026,S026,17,Attentive,82
027,S027,20,Attentive,80
028,S028,23,Attentive,79
029,S029,26,Attentive,77
030,S030,29,Attentive,75
031,S031,32,Distracted,69
032,S032,35,Distracted,68
033,S033,38,Distracted,67
034,S034,41,Distracted,66
035,S035,44,Distracted,65
036,S036,47,Distracted,64
037,S037,50,Distracted,63
038,S038,53,Distracted,62
039,S039,56,Distracted,61
040,S040,350,Distracted,48
041,S041,1,Attentive,90
042,S042,4,Attentive,88
043,S043,7,Attentive,87
044,S044,10,Attentive,85
045,S045,13,Attentive,84
046,S046,16,Attentive,82
047,S047,19,Attentive,81
048,S048,22,Attentive,80
049,S049,25,Attentive,78
050,S050,28,Attentive,76
051,S051,31,Distracted,70
052,S052,34,Distracted,69
053,S053,37,Distracted,68
054,S054,40,Distracted,67
055,S055,43,Distracted,66
056,S056,46,Distracted,65
057,S057,49,Distracted,64
058,S058,52,Distracted,63
059,S059,55,Distracted,62
060,S060,400,Distracted,45
061,S061,0,Attentive,90
062,S062,3,Attentive,89
063,S063,6,Attentive,87
064,S064,9,Attentive,85
065,S065,12,Attentive,84
066,S066,15,Attentive,82
067,S067,18,Attentive,81
068,S068,21,Attentive,80
069,S069,24,Attentive,78
070,S070,27,Attentive,77
071,S071,30,Attentive,75
072,S072,33,Distracted,69
073,S073,36,Distracted,68
074,S074,39,Distracted,67
075,S075,42,Distracted,66
076,S076,45,Distracted,65
077,S077,48,Distracted,64
078,S078,51,Distracted,63
079,S079,54,Distracted,62
080,S080,450,Distracted,42
081,S081,60,Distracted,60
082,S082,2,Attentive,90
083,S083,5,Attentive,88
084,S084,8,Attentive,86
085,S085,11,Attentive,85
086,S086,14,Attentive,83
087,S087,17,Attentive,82
088,S088,20,Attentive,80
089,S089,23,Attentive,79
090,S090,26,Attentive,77
091,S091,29,Attentive,75
092,S092,32,Distracted,69
093,S093,35,Distracted,68
094,S094,38,Distracted,67
095,S095,41,Distracted,66
096,S096,44,Distracted,65
097,S097,47,Distracted,64
098,S098,50,Distracted,63
099,S099,53,Distracted,62
100,S100,500,Distracted,30
